"States","Mean_Salary"
"Alabama",NA
"Alaska",NA
"Arizona",4997362.5
"Arkansas",NA
"California",9731450
"CANADA",4e+06
"Colorado",12092882
"Connecticut",NA
"Delaware",NA
"Florida",4502140
"Georgia",5005350
"Hawaii",NA
"Idaho",NA
"Illinois",5837760
"Indiana",9e+06
"Iowa",NA
"Kansas",NA
"Kentucky",NA
"Louisiana",14536585.5
"Maine",NA
"Maryland",NA
"Massachusetts",6266690
"Michigan",3e+06
"Minnesota",4259259
"Mississippi",NA
"Missouri",NA
"Montana",NA
"Nebraska",NA
"Nevada",NA
"New Hampshire",NA
"New Jersey",NA
"New Mexico",NA
"New York",4823051
"North Carolina",4215120
"North Dakota",NA
"Ohio",6695275.5
"Oklahoma",2412840
"Oregon",6835262.5
"Pennsylvania",8186047
"Rhode Island",NA
"South Carolina",NA
"South Dakota",NA
"Tennessee",8809030
"Texas",5890000
"Utah",12420000
"Vermont",NA
"Virginia",NA
"Washington",NA
"Washington DC",4958080
"Washington DC*",NA
"West Virginia",NA
"Wisconsin",8151750
"Wyoming",NA
