"States","Age","Mean_Salary"
"Arizona",22,12632950
"Arizona",24,31610000
"Arizona",25,3833333
"Arizona",27,2089448
"Arizona",30,9720900
"Arizona",31,2641691
"Arizona",35,30800000
"California",20,9500000
"California",21,11312114
"California",23,28103550
"California",24,12727273
"California",25,31579390
"California",26,8604651
"California",27,35361360
"California",28,22477273
"California",29,39344900
"California",30,39344970
"California",31,9742000
"California",32,45780966
"California",36,41180544
"CANADA",21,6920027
"CANADA",22,2e+07
"CANADA",23,16071429
"CANADA",24,2089448
"CANADA",25,16409091
"CANADA",26,31320000
"CANADA",27,15517242
"CANADA",28,18139535
"CANADA",29,12195122
"CANADA",30,10183800
"CANADA",31,43848000
"CANADA",32,13445120
"CANADA",33,7e+06
"CANADA",34,26984128
"CANADA",35,7e+06
"Colorado",21,2161152
"Colorado",22,5258735
"Colorado",23,31590000
"Colorado",25,30510423
"Colorado",30,30264615
"Colorado",35,2641691
"Florida",21,4004280
"Florida",22,16500000
"Florida",23,28103550
"Florida",24,1669178
"Florida",25,5e+06
"Florida",26,15560000
"Florida",27,1789256
"Florida",29,12500000
"Florida",31,36016200
"Florida",35,2641691
"Florida",37,17641691
"Florida",40,2641691
"Georgia",21,4670160
"Georgia",22,8326471
"Georgia",23,2.3e+07
"Georgia",26,17103448
"Georgia",29,2389641
"Georgia",32,20475000
"Illinois",20,5837760
"Illinois",23,15690909
"Illinois",25,19500000
"Illinois",26,4789256
"Illinois",27,1789256
"Illinois",32,14190000
"Illinois",34,4910000
"Indiana",21,3098400
"Indiana",22,1701593
"Indiana",24,18562500
"Indiana",25,1701593
"Indiana",27,12690000
"Indiana",28,21700000
"Indiana",29,13750000
"Indiana",31,6006420
"Louisiana",20,10733400
"Louisiana",22,3261480
"Louisiana",23,29467800
"Louisiana",25,1.2e+07
"Louisiana",27,17073171
"Louisiana",31,18125000
"Massachusetts",21,3804360
"Massachusetts",22,28103550
"Massachusetts",23,1669178
"Massachusetts",24,24830357
"Massachusetts",25,1669178
"Massachusetts",26,14339285
"Massachusetts",29,9720900
"Massachusetts",30,8729020
"Michigan",20,0
"Michigan",22,3e+06
"Michigan",23,5005350
"Michigan",26,2e+07
"Michigan",29,1939350
"Michigan",30,8137500
"Michigan",33,2641691
"Minnesota",21,6395160
"Minnesota",22,4087904
"Minnesota",24,30013500
"Minnesota",25,31610000
"Minnesota",26,3940184
"Minnesota",30,17809524
"New York",20,8623920
"New York",21,1782621
"New York",22,1802057
"New York",23,3768342
"New York",24,4736102
"New York",25,1729217
"New York",26,19800000
"New York",27,17142857
"New York",28,34916200
"New York",29,17357143
"New York",32,40918900
"New York",34,4500000
"New York",35,4910000
"North Carolina",22,5421493
"North Carolina",23,1782621
"North Carolina",25,1.1e+07
"North Carolina",26,17905263
"North Carolina",28,2389641
"North Carolina",30,29900000
"Ohio",21,7040880
"Ohio",22,6349671
"Ohio",24,2239200
"Ohio",25,8050000
"Ohio",28,10690909
"Ohio",32,31300000
"Oklahoma",20,2513040
"Oklahoma",21,1782621
"Oklahoma",22,5495532
"Oklahoma",23,2412840
"Oklahoma",26,2e+06
"Oklahoma",29,3500000
"Oklahoma",34,2.7e+07
"Oregon",20,2316240
"Oregon",21,3938818
"Oregon",23,9731707
"Oregon",28,2641691
"Oregon",29,30864198
"Oregon",30,43750000
"Oregon",36,2641691
"Pennsylvania",23,4629630
"Pennsylvania",24,31590000
"Pennsylvania",26,31579390
"Pennsylvania",28,3.6e+07
"Pennsylvania",30,8186047
"Pennsylvania",33,1e+07
"Pennsylvania",35,2641691
"Tennessee",21,9603360
"Tennessee",22,8437500
"Tennessee",24,16902439
"Tennessee",25,12200000
"Tennessee",27,9937150
"Texas",20,2130240
"Texas",21,2145720
"Texas",23,1762796
"Texas",24,15428571
"Texas",25,13666667
"Texas",26,15178571
"Texas",27,11600000
"Texas",28,21306816
"Texas",29,1.1e+07
"Texas",30,44310840
"Texas",31,26984127
"Texas",32,18218818
"Texas",34,5890000
"Utah",23,1782621
"Utah",24,28103550
"Utah",27,8678571
"Utah",28,35344828
"Utah",29,9720900
"Utah",33,2.1e+07
"Washington DC",21,1729217
"Washington DC",22,4916160
"Washington DC",23,8730159
"Washington DC",24,1669178
"Washington DC",27,34502130
"Washington DC",28,1.6e+07
"Washington DC",32,44211146
"Wisconsin",24,4675830
"Wisconsin",25,8151750
"Wisconsin",26,39344970
"Wisconsin",27,4500000
"Wisconsin",28,5333333
"Wisconsin",29,35500000
"Wisconsin",30,30133333
"Wisconsin",32,13302325
